Review,Fake
"Affinia Chicago is one of the worst hotels I have ever stayed at. Not in my life have I been treated so poorly as a guest. The front desk was very unaccommodating when I asked for a smoke free room when they had made an error in my reservation. There was no bellhop available for some strange reason so I had to move all my luggage to the elevator and down a long hallway to my room by myself. If it wasn't already a bad stay, I ordered room service and it took over an hour and a half to be delivered. If they didn't have air conditioning in the room, I would say just about everything about this stay was completely miserable. If you are traveling to Chicago for any kind of business, I hope you decide not to choose this hotel. I was quite surprised, I like Chicago as a city but this stay definitely made my trip quite a negative experience.
",1
"We stayed 2 nights over spring break in what was called a Jr Suite but resembled a wide hallway with a window at one end. Bad cheap furniture, carpet that stops short of reaching the wall, a TV that sticks out into the middle of the room and a window that whistled when the wind blew. BAD BAD experience. Find aother hotel plenty in the area.
",0
"I recently stayed at the Affina Chicago hotel and was really dissappointed. When I arrived, the desk clerk was really slow checking me in. I feel like turtles could have checked me in faster. I was finally checked in and my room was on the 8th floor. The elevator ride seemed to take forever. I arrived and the room and at first glance it looked great, but after looking everything over there were finger smudges on the glass table. I figured maybe room cleanin must have accidentally touched it. I went to the C-House for supper that evening and I had to wait for what seemed like forever. The meal was good, but my waitress was very uptight. On my way back to my room, I asked the front desk to set up a wake up call for 6 AM the next morning and they were very grateful to set that up. It would have been nice to actually get it though. The next morning I surprisingly work up at 7:18 AM and realized that I had not received a wake up call. I was very upset and let them know. Overall this experience was not worth the 4 stars that this hotel has been given. For the price, quality and ratings the Affina Chicago hotel has been given, I would expect better service.
",1
"Stayed at the Fitzpatrick as a result of all of the glowing reviews on TripAdvisor and to avoid the normal corporate hotel. Good location but the room was dirty, and not just from the last housekeeping. It was dingy: a place where you needed the slippers they provided. And this was a suite. Also, the refrigerator was caked with ice and didn't work. Furthermore, because my travel agent had mixed up the dates I was to travel, I showed up a day late. The hotel said it wasn't a problem and that I wouldn't be charged for the no-show the night before. I had my travel desk verify this with the hotel management the same day. Then the Fitzpatrick charged me for both nights and refused to reverse the charges after many attempts to resolve. Neither I nor my corporate travel desk will use the Fitzpatrick again. Two dots only because it's in a good location and because the lobby was clean. I'm generally easy to please and slow to complain but this was bad.
",0
"I stayed at the Affina Chicago for my anniversary. The hotel is in a great location, but that doesn't make up for the poor customer service and rudeness of the staff. It looked like the cleaning crew forgot to vacuum from the last guest since there was hair on the carpet. I spent more money than I would normally, hoping for a luxury experience, and left very unsatisfied.
",1
"We booked this hotel as a last minute vacation planned on doing a little shopping and nightlife downtown. We where woken up at 6:00 in the morning with our bathroom flooded, this water was brown and all the clothing and our belongings left in the bathroom were dirty and sopping wet. We where moved to another room, but it was smaller then the orginal room we had gotten and paid for. The next day the housekeeping service never even came to change our sheets, coffee or towels, which is just horrible service. The service along with the orginal room where perfect, but we do not plan on ever spending another weekend in that flooding hotel.
",0
"If you are looking for a high end hotel on the Magnificent Mile, the Affinia Chicago is NOT your best option. First of all, the ""central"" location is not so convenient - there is quite a hike to the Navy Pier (which this hotel claims to be the ""official"" hotel of) and to the shops on the Mile. Secondly, the hotel is small - only 215 rooms, most of which are miniscule by comparison to the other hotels in the area. Thirdly, they have one restaurant and one lounge, both of which offer the same menu which seems a bit bizarre for a high end hotel. Finally the Affinia has one of the most rude staffs ever witnessed in a luxury hotel. One does expect some courtesy at the outrageous prices but be ready for the attitude and snobbery that will greet you at the Affinia!
",1
"This hotel is a shambles-furniture literally falling apart and a staff that is both rude and uninformed, nevermind the lack of security and the absence of the so-called amenities. The ""fitness center"" is an oversized closet! We were appalled during our stay! Truly anticipated ""warm, Irish hospitality"" and short of a barman, no one was Irish, warm or hospitable! Manager was unresponsive to our needs and front desk attendent was incredibly rude when we made a simple request. Her manager (?) refused to come out of the office when she called to ask them to speak with us. Room was pretty at first glance but when dresser drawers fell out and the major construction of the hospital next door began at 7:30am it is not the kind of experience anyone could tolerate. To call this a Red Roof Inn would be an insult to RRI! The manager that finally called us back was soooo fake and insincere that we would have prefered no call at all. The only thing they have going for them is the location but its not worth the trade-off.
",0
"I just returned from a long weekend in Chicago with my wife. We stayed at the Affinia hotel and I can't even begin to describe what an awful experience it was. When we arrived at 4pm on Thursday (check-in is 3pm), our room was not ready. We had to wait til almost 5pm before we could even get into the room. Once inside the room smelled like an ash tray. Obviously someone had deactivated the smoke detectors somehow and had been smoking in the room. We decided to just go out for an early dinner. After arriving back to our room around 9pm, our key didn't work. We had to go all the way back down to the lobby to get a new one. The next morning the maids started knocking on our door at 7:30 in the morning! Why would you try to clean the room that early??!! The 'do not disturb' sign was on our door for the rest of the stay. After that early wakeup, we went downstairs to request a different room due to the terrible smell in the one we were assigned. The front desk employee gave me a very condescending look and sighed when I asked. Eventually we did get a new room but I didn't enjoy the demeanor I encountered to do so. Our new room was fairly nice, and the rest of the stay was relatively uneventful, but I have a bad taste in my mouth and likely won't stay there again.
",1
"The hotel itself was beautiful and wonderful staff but the bottom line for me was that it was impossible to sleep through the night because the noise of the ambulance sirens continued throughout the night. For THREE consecutive nights. There was simply inadequate soundproofing - even 14 floors above the street (OK - 13 floors as there is no 13th floor). I hesitate to write this review but I rely on Trip Advisor reviews when traveling, and had I been warned about the ambulance sirens, I would have chosen to stay elsewhere. If you are a sound sleeper and noise is not an issue then it is a lovely hotel and excellent value. Conveniently located. Wonderful staff. But quiet is a key priority for me so I would not stay here again. :(
",0
